id,date,date_unixtime,professor_id,professor_name_raw,department,course_name,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,grading_status_raw,attendance_status_raw,comment_text,term,parse_error,sentiment_label,sentiment_score
14,2021-09-05T00:34:39,1630785879,,سید محمد شهرتاش,برق,بررسی ۱-بررسی۲-حفاظت,8.0,9.0,7.0,9.0,8.0,10.0,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,"چیزی اضافه ایی نیست
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",مهر 99,False,no_idea,0.4215430021286011
15,2021-09-05T00:35:51,1630785951,,دکتر هاجر فلاحتی,مهندسی_کامپیوتر,مدار منطقی- طراحی سیستم های کامپیوتری,1.0,2.0,1.0,3.0,2.0,10.0,نمره خوبی نمیشه ازشون گرفت,حضور مهم نیست اما تاثیر مثبت دارد,"خوب درس نمیده اصلا، نمره ها رو خوب نمیده و اصلا در طی ترم یا اخر ترم جواب ایمیل نمیده.
منبع مشخصی نداره پایانترماش فضاییه
خوش اخلاقه نسبتا ولی بهش زود برمیخوره
نمونهه بارز ادم بی نظم
خییییییلی بی نظم و بی برنامه است همه چیش.
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",بهمن 98,False,not_recommended,0.8033427000045776
16,2021-09-05T00:36:56,1630786016,,علم الهدی,مهندسی_مواد,بلور شناسی,9.0,8.0,10.0,9.0,10.0,10.0,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,"در کل اگر که دنبال یک استاد با ادب با دانشجو میخواید گزینه خوبیه
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",بهمن 99,False,recommended,0.9629409313201904
17,2021-09-05T00:37:00,1630786020,,حجت قاسمی,مکانیک,سوخت و احتراق,10.0,10.0,9.0,9.0,9.0,9.0,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,"سخت گیر و پربازده
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",مهر 98,False,recommended,0.9132104516029358
18,2021-09-05T00:41:22,1630786282,,فریبرز قاسمی,مهندسی_کامپیوتر,برنامه نویسی کامپیوتر,8.0,10.0,8.0,10.0,7.0,9.0,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,"چیزی اضافه ایی نیست
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",بهمن 99,False,no_idea,0.4215430021286011
19,2021-09-05T00:50:13,1630786813,,محمد باقر صادقی,مهندسی_مواد,درس های پلاستیسیته و مکانیک محیط های پیوسته,10.0,10.0,10.0,10.0,10.0,10.0,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,"دقت کنید هر جلسه مطالب را بخونید ارشد شب امتحانی نیست طول ترمی هست درس..
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",مهر 99,False,recommended,0.9028549790382385
20,2021-09-05T00:54:05,1630787045,,هادی خرمی شاد,مکانیک,اتصالات چسبی,10.0,10.0,10.0,10.0,10.0,10.0,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,"چیزی اضافه ایی نیست
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",بهمن 98,False,no_idea,0.4215430021286011
21,2021-09-05T00:54:29,1630787069,,محمدعظیم کرمی,برق,الکترونیک 1,5.0,7.0,8.0,8.0,6.0,5.0,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,"اعصابی براتون نمیمونه چه نمره خوبی بگیرید چه بد، ترم ما 40% کلاس افتادن، البته 3-4 تا 20 هم داشتیم، در کل سیاست نمره دهی و کوئیز هاشون (وقت کم) دمار از دانشجو در میاره، اما اگر اهل تلاش زیاد باشید امکان نمره خوب گرفتن هم هست
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",بهمن 99,False,not_recommended,0.8426944017410278
22,2021-09-05T01:08:29,1630787909,,سید علیرضا نظام الحسینی,برق,سیگنالها و سیستمها,10.0,10.0,10.0,8.0,10.0,10.0,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,"استاد خوبی هستند فقط امتحان های سختی میگیرن که اون هم اگر خونده باشی میشه اوکی کردش.در کل خیلی رواله
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",مهر 99,False,recommended,0.9589135050773621
23,2021-09-05T01:12:54,1630788174,,علی رضا ایوانی,مهندسی_مواد,درس شکل پذیری فلزات و شکست,10.0,10.0,10.0,10.0,10.0,10.0,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,"سعی کنید سر کلاس خوب گوش بدید به مطالب
~~~~~~~~~~~~~~~~~
برای ثبت معرفی استاد به ربات زیر پیام بدید
@ostad_elmosiBot

کانال معرفی اساتید دانشگاه علم و صنعت
@ostad_elmosi @ostad_elmosi",بهمن 99,False,recommended,0.6947482228279114
